HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.headline,Input.details,Answer.web_url,Approve,Reject
3NCN4N1H1FGPTGBJ917LDPZ2GXLBNM,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,31LVTDXBL79O86NHJNIYPWV2PCORLV,A3KI0DBOGJA4VV,Approved,Thu Apr 16 16:05:33 PDT 2015,Thu Apr 16 16:07:49 PDT 2015,Thu Apr 16 16:17:49 PDT 2015,2015-04-16 23:18:09 UTC,,,136,100% (1/1),100% (1/1),100% (1/1),"Stanford Offering Free Tuition To Students Whose Families Make Less Than $125,000","As part of an effort to make college accessible and affordable, Stanford University has announced that it will offer free tuition to students whose parents make less than $125,000 per year.",That seems ridiculous to give help to people making over 100k|The desire to provide tuition does seem like a good intention|I think that some people might lie to get the free tuition.,,
3NCN4N1H1FGPTGBJ917LDPZ2GXLBNM,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,34S6N1K2ZVIBJC9ENI64BSTW23PLHR,A1AQK667NBERJ1,Approved,Thu Apr 16 15:46:12 PDT 2015,Thu Apr 16 15:47:01 PDT 2015,Thu Apr 16 15:57:01 PDT 2015,2015-04-16 22:58:09 UTC,,,49,100% (5/5),100% (5/5),100% (5/5),"Stanford Offering Free Tuition To Students Whose Families Make Less Than $125,000","As part of an effort to make college accessible and affordable, Stanford University has announced that it will offer free tuition to students whose parents make less than $125,000 per year.",I like this from one stance as they are trying to assist others. |However I think this could be somewhat bias towards some people|Lastly anytime we can give out free education to better people is a good thing.,,
3NCN4N1H1FGPTGBJ917LDPZ2GXLBNM,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,39ZSFO5CA8VAT8RYKW1QES5USMOUJ1,A38DANCR578BY1,Approved,Thu Apr 16 16:19:13 PDT 2015,Thu Apr 16 16:21:04 PDT 2015,Thu Apr 16 16:31:04 PDT 2015,2015-04-16 23:33:08 UTC,,,111,100% (14/14),100% (14/14),100% (14/14),"Stanford Offering Free Tuition To Students Whose Families Make Less Than $125,000","As part of an effort to make college accessible and affordable, Stanford University has announced that it will offer free tuition to students whose parents make less than $125,000 per year.","Very Good that people will get preference based on their economic situation.|$125,000 goes a long way in some states and can make one feel rich.|At least one university is realizing that benefits should not be based only on racial terms.",,
3NCN4N1H1FGPTGBJ917LDPZ2GXLBNM,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3F6HPJW4JDZNFGIV8BAZXZ4ABR8W2A,A1C0H8G0YI15MN,Approved,Thu Apr 16 15:23:00 PDT 2015,Thu Apr 16 15:27:22 PDT 2015,Thu Apr 16 15:37:22 PDT 2015,2015-04-16 22:38:08 UTC,,,262,100% (13/13),100% (13/13),100% (13/13),"Stanford Offering Free Tuition To Students Whose Families Make Less Than $125,000","As part of an effort to make college accessible and affordable, Stanford University has announced that it will offer free tuition to students whose parents make less than $125,000 per year.","Elation at the wisdom of the administration of Stanford.|frustration that the financial cutoff is fixed regardless of the cost of living where the parents live|The enormous endowments of the top universities make this possible in many places.  The children of the elite will get better education if in the presence of children of the middle class, so everyone wins.",,
3NCN4N1H1FGPTGBJ917LDPZ2GXLBNM,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3GDTJDAPVUA2WJQ6KQDDYSFMZPM8MY,AAXYYH9MI3PJM,Approved,Thu Apr 16 15:07:24 PDT 2015,Thu Apr 16 15:08:06 PDT 2015,Thu Apr 16 15:18:06 PDT 2015,2015-04-16 22:18:08 UTC,,,42,100% (15/15),100% (15/15),100% (15/15),"Stanford Offering Free Tuition To Students Whose Families Make Less Than $125,000","As part of an effort to make college accessible and affordable, Stanford University has announced that it will offer free tuition to students whose parents make less than $125,000 per year.",Nice. Giving people scholarships is nice.|Good. I Felt good reading this.|It is for people who are sorta lower class.,,
3NCN4N1H1FGPTGBJ917LDPZ2GXLBNM,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3I33IC7ZWF1Q83FS76E7FA7JJ8FA2N,A2JORQCETWUR0R,Approved,Thu Apr 16 17:21:49 PDT 2015,Thu Apr 16 17:23:29 PDT 2015,Thu Apr 16 17:33:29 PDT 2015,2015-04-17 00:38:09 UTC,,,100,100% (5/5),100% (5/5),100% (5/5),"Stanford Offering Free Tuition To Students Whose Families Make Less Than $125,000","As part of an effort to make college accessible and affordable, Stanford University has announced that it will offer free tuition to students whose parents make less than $125,000 per year.",Uplifting.  This is really positive. |Discouraged. How many kids from families who are are lower income brackets have the advantages and preparation to get in and succeed at Stanford. |Skepticism.  Is this really a publicity stunt?,,
3NCN4N1H1FGPTGBJ917LDPZ2GXLBNM,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3K3R2QNK8B2LNWEPYKADPYRRWHD9UM,A2GQLW59SKDSJ6,Approved,Thu Apr 16 16:13:55 PDT 2015,Thu Apr 16 16:15:18 PDT 2015,Thu Apr 16 16:25:18 PDT 2015,2015-04-16 23:28:08 UTC,,,83,100% (14/14),100% (14/14),100% (14/14),"Stanford Offering Free Tuition To Students Whose Families Make Less Than $125,000","As part of an effort to make college accessible and affordable, Stanford University has announced that it will offer free tuition to students whose parents make less than $125,000 per year.",This is incredible! What a step in the right direction for higher education. I feel surprised but happy.|I am so happy that they are doing this. This will change the lives of many.|So Stanford will pay for you to attend... but you have to get in first!,,
3NCN4N1H1FGPTGBJ917LDPZ2GXLBNM,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3OONKJ5DKCI9YK9P0IC0HYUS2VNBOG,A2AFTOA85C1FM9,Approved,Thu Apr 16 15:22:43 PDT 2015,Thu Apr 16 15:23:33 PDT 2015,Thu Apr 16 15:33:33 PDT 2015,2015-04-16 22:38:08 UTC,,,50,100% (15/15),100% (15/15),100% (15/15),"Stanford Offering Free Tuition To Students Whose Families Make Less Than $125,000","As part of an effort to make college accessible and affordable, Stanford University has announced that it will offer free tuition to students whose parents make less than $125,000 per year.",That's good.|Who paying for this?|Great for the ones that will get it.,,
3NCN4N1H1FGPTGBJ917LDPZ2GXLBNM,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3R9WASFE2ZFBA5ZC7T9DGMSH1XGFZ2,ALEJWTTZHO3AV,Approved,Thu Apr 16 15:07:49 PDT 2015,Thu Apr 16 15:30:39 PDT 2015,Thu Apr 16 15:40:39 PDT 2015,2015-04-16 22:43:08 UTC,,,1370,100% (1/1),100% (1/1),100% (1/1),"Stanford Offering Free Tuition To Students Whose Families Make Less Than $125,000","As part of an effort to make college accessible and affordable, Stanford University has announced that it will offer free tuition to students whose parents make less than $125,000 per year.","Happiness that a well known school would offer such a deal.|Happiness that a well known school would offer such a deal.|This will likely lose the school a lot of money, as most families make less than $125,000.",,
3NCN4N1H1FGPTGBJ917LDPZ2GXLBNM,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3UJ1CZ6IZHOM7WK96P2WYH41PO55S7,A2NQT50GA2G1B0,Approved,Thu Apr 16 15:40:18 PDT 2015,Thu Apr 16 15:40:51 PDT 2015,Thu Apr 16 15:50:51 PDT 2015,2015-04-16 22:53:08 UTC,,,33,100% (15/15),100% (15/15),100% (15/15),"Stanford Offering Free Tuition To Students Whose Families Make Less Than $125,000","As part of an effort to make college accessible and affordable, Stanford University has announced that it will offer free tuition to students whose parents make less than $125,000 per year.",I wanna go to college.|Limit needs to be lower.|This is good.,,
